태그,수
dp,2093
graphs,3295
topological_sorting,156
bruteforcing,1796
math,1483
implementation,2612
combinatorics,235
graph_traversal,2491
bfs,1637
dfs,866
regex,32
string,957
number_theory,377
primality_test,199
sieve,171
data_structures,1668
deque,81
greedy,1424
sorting,1215
geometry,222
bitmask,331
dp_bitfield,60
divide_and_conquer,201
recursion,317
euclidean,79
backtracking,756
disjoint_set,231
simulation,1032
trees,483
binary_search,708
knapsack,131
parametric_search,262
dp_tree,121
queue,107
dijkstra,513
mst,143
priority_queue,282
mitm,56
hash_set,408
two_pointer,383
0_1_bfs,102
tree_set,107
probability,45
floyd_warshall,218
linked_list,18
stack,370
case_work,130
sliding_window,94
parsing,99
arithmetic,153
segtree,74
exponentiation_by_squaring,22
bipartite_graph,26
ad_hoc,125
prefix_sum,353
bellman_ford,25
sweeping,100
arbitrary_precision,35
pythagoras,18
tsp,24
polygon_area,11
lis,28
linear_algebra,18
trie,48
permutation_cycle_decomposition,18
crt,10
bipartite_matching,14
game_theory,74
sparse_table,15
lca,20
geometry_3d,20
ternary_search,11
euler_phi,15
euler_characteristic,13
coordinate_compression,22
pigeonhole_principle,20
constructive,99
offline_queries,15
hashing,4
physics,6
inclusion_and_exclusion,18
line_intersection,14
